รหัสจังหวัด,province_clean,เขต,หมายเลข_clean,party_name_clean,คะแนน,First_digit
10,กรุงเทพมหานคร,2,21,ไทยรวมพลัง,32,3
10,กรุงเทพมหานคร,2,22,ก้าวอิสระ,17,1
10,กรุงเทพมหานคร,2,23,ปวงชนไทย,76,7
10,กรุงเทพมหานคร,2,24,วินัยไทย,27,2
10,กรุงเทพมหานคร,2,25,เพื่อชีวิตใหม่,6,6
10,กรุงเทพมหานคร,2,26,คลองไทย,34,3
10,กรุงเทพมหานคร,2,27,ประชาธิปัตย์,11048,1
10,กรุงเทพมหานคร,2,28,ไทยก้าวหน้า,47,4
10,กรุงเทพมหานคร,2,29,ไทยภักดี,2050,2
10,กรุงเทพมหานคร,2,30,แรงงานสร้างชาติ,17,1
10,กรุงเทพมหานคร,2,31,ประชากรไทย,34,3
10,กรุงเทพมหานคร,2,32,ครูไทยเพื่อประชาชน,23,2
10,กรุงเทพมหานคร,2,33,ประชาชาติ,65,6
10,กรุงเทพมหานคร,2,34,สร้างอนาคตไทย,31,3
10,กรุงเทพมหานคร,2,35,รักชาติ,146,1
10,กรุงเทพมหานคร,2,36,ไทยพร้อม,32,3
10,กรุงเทพมหานคร,2,37,ภูมิใจไทย,18021,1
10,กรุงเทพมหานคร,2,38,พลังธรรมใหม่,37,3
10,กรุงเทพมหานคร,2,39,กรีน,108,1
10,กรุงเทพมหานคร,2,40,ไทยธรรม,4,4
10,กรุงเทพมหานคร,2,41,แผ่นดินธรรม,12,1
10,กรุงเทพมหานคร,2,42,กล้าธรรม,270,2
10,กรุงเทพมหานคร,2,43,พลังประชารัฐ,99,9
10,กรุงเทพมหานคร,2,44,โอกาสใหม่,114,1
10,กรุงเทพมหานคร,2,45,เป็นธรรม,154,1
10,กรุงเทพมหานคร,2,46,ประชาชน,40383,4
10,กรุงเทพมหานคร,2,47,ประชาไทย,76,7
10,กรุงเทพมหานคร,2,48,ไทยสร้างไทย,707,7
10,กรุงเทพมหานคร,2,49,ไทยก้าวใหม่,637,6
10,กรุงเทพมหานคร,2,50,ประชาอาสาชาติ,3,3
10,กรุงเทพมหานคร,2,51,พร้อม,17,1
10,กรุงเทพมหานคร,2,52,เครือข่ายชาวนาแห่งประเทศไทย,11,1
10,กรุงเทพมหานคร,2,53,ไทยภักดีธรรม,3,3
10,กรุงเทพมหานคร,2,54,ความหวังใหม่,12,1
10,กรุงเทพมหานคร,2,55,ไทยรวมไทย,7,7
10,กรุงเทพมหานคร,2,56,เพื่อบ้านเมือง,21,2
10,กรุงเทพมหานคร,2,57,พลังไทยรักชาติ,17,1
10,กรุงเทพมหานคร,2,58,รักษ์ธรรม,N/A,
10,กรุงเทพมหานคร,2,59,รวมพลัง,N/A,
10,กรุงเทพมหานคร,2,60,สัมมาธิปไตย,N/A,
10,กรุงเทพมหานคร,3,1,ไทยทรัพย์ทวี,31,3
10,กรุงเทพมหานคร,3,2,เพื่อชาติไทย,376,3
10,กรุงเทพมหานคร,3,3,ใหม่,149,1
10,กรุงเทพมหานคร,3,4,มิติใหม่,48,4
10,กรุงเทพมหานคร,3,5,รวมใจไทย,112,1
10,กรุงเทพมหานคร,3,6,รวมไทยสร้างชาติ,1613,1
10,กรุงเทพมหานคร,3,7,พลวัต,101,1
10,กรุงเทพมหานคร,3,8,ประชาธิปไตยใหม่,274,2
10,กรุงเทพมหานคร,3,9,เพื่อไทย,5700,5
10,กรุงเทพมหานคร,3,10,ทางเลือกใหม่,246,2
10,กรุงเทพมหานคร,3,11,เศรษฐกิจ,1304,1
