province_name,constituency,vote_track,voters_came,good_votes,invalid_votes,no_votes
นครราชสีมา,7,party_list,81993,75590,4463,1940
นครราชสีมา,8,party_list,88227,80704,4520,3003
นครราชสีมา,9,party_list,92484,85355,5140,1989
นครราชสีมา,10,party_list,112031,101587,6762,3682
นครราชสีมา,11,party_list,93602,84866,5329,3407
นครราชสีมา,12,party_list,94858,85430,5872,3556
นครราชสีมา,13,party_list,78490,69798,5171,3521
นครราชสีมา,14,party_list,83594,75906,3781,3907
นครราชสีมา,15,party_list,99861,92072,5696,2093
นครราชสีมา,16,party_list,89343,81924,5370,2049
บุรีรัมย์,1,party_list,86183,80645,3698,1840
บุรีรัมย์,2,party_list,81656,75773,4324,1559
บุรีรัมย์,3,party_list,77430,72834,3622,974
บุรีรัมย์,4,party_list,74514,69590,3723,1201
บุรีรัมย์,5,party_list,82315,76953,3841,1521
บุรีรัมย์,6,party_list,79738,74605,3578,1555
บุรีรัมย์,7,party_list,80097,74639,3961,1497
บุรีรัมย์,8,party_list,85266,78587,4384,2295
บุรีรัมย์,9,party_list,79747,73596,4448,1703
บุรีรัมย์,10,party_list,74757,69607,3791,1359
สุรินทร์,1,party_list,94060,87126,4039,2895
สุรินทร์,2,party_list,95001,88367,4756,1878
สุรินทร์,3,party_list,84654,78837,4074,1743
สุรินทร์,4,party_list,85084,79794,3634,1656
สุรินทร์,5,party_list,82574,77102,4414,1058
สุรินทร์,6,party_list,81526,75723,4392,1411
สุรินทร์,7,party_list,91439,85211,4423,1805
สุรินทร์,8,party_list,85240,78886,4605,1749
ศรีสะเกษ,1,party_list,98768,92842,4099,1827
ศรีสะเกษ,2,party_list,85060,79352,4128,1580
ศรีสะเกษ,3,party_list,82061,75333,4816,1912
ศรีสะเกษ,4,party_list,82769,76539,4624,1606
ศรีสะเกษ,5,party_list,85063,78316,5120,1627
ศรีสะเกษ,6,party_list,83911,77850,4905,1156
ศรีสะเกษ,7,party_list,84203,78925,4270,1008
ศรีสะเกษ,8,party_list,89354,83511,4162,1681
ศรีสะเกษ,9,party_list,93002,87485,3885,1632
อุบลราชธานี,1,party_list,99551,92206,3139,4106
อุบลราชธานี,2,party_list,97134,90040,4165,2929
อุบลราชธานี,3,party_list,93751,86350,4485,2916
อุบลราชธานี,4,party_list,112955,103550,5080,4325
อุบลราชธานี,5,party_list,86404,80187,4168,2049
อุบลราชธานี,6,party_list,83930,77173,5162,1595
อุบลราชธานี,7,party_list,90567,84963,4240,1364
อุบลราชธานี,8,party_list,92164,85355,4698,2111
อุบลราชธานี,9,party_list,83647,77473,4786,1388
อุบลราชธานี,10,party_list,93234,87008,4729,1497
อุบลราชธานี,11,party_list,85958,78793,4742,2423
ยโสธร,1,party_list,105737,99617,4066,2054
ยโสธร,2,party_list,94115,89211,3614,1290
ยโสธร,3,party_list,99569,93788,4069,1712
ชัยภูมิ,1,party_list,88777,81337,4386,3054
ชัยภูมิ,2,party_list,87136,79374,4999,2763
ชัยภูมิ,3,party_list,80751,73106,5668,1977
ชัยภูมิ,4,party_list,76539,70825,4413,1301
ชัยภูมิ,5,party_list,89483,82473,5362,1646
ชัยภูมิ,6,party_list,89259,81810,5691,1758
ชัยภูมิ,7,party_list,84732,78848,4399,1485
อำนาจเจริญ,1,party_list,97675,91168,4066,2441
อำนาจเจริญ,2,party_list,103473,95867,5084,2522
บึงกาฬ,1,party_list,74245,69694,3156,1395
บึงกาฬ,2,party_list,75005,70564,3295,1145
บึงกาฬ,3,party_list,76221,71066,3410,1745
หนองบัวลำภู,1,party_list,91463,85052,4425,1986
หนองบัวลำภู,2,party_list,83652,78144,4125,1382
หนองบัวลำภู,3,party_list,82630,76807,4279,1544
ขอนแก่น,1,party_list,91147,85337,2909,2901
ขอนแก่น,2,party_list,105501,98548,3524,3429
ขอนแก่น,3,party_list,90629,84521,4458,1650
ขอนแก่น,4,party_list,95728,88920,4733,2075
ขอนแก่น,5,party_list,85146,79025,4885,1236
ขอนแก่น,6,party_list,86154,79070,5066,2018
ขอนแก่น,7,party_list,90247,83257,5120,1870
ขอนแก่น,8,party_list,96586,89655,4641,2290
ขอนแก่น,9,party_list,85016,80096,3898,1022
ขอนแก่น,10,party_list,89102,83642,4486,974
ขอนแก่น,11,party_list,82562,76425,4482,1655
อุดรธานี,1,party_list,84507,79136,2248,3123
อุดรธานี,2,party_list,89477,82886,4035,2556
อุดรธานี,3,party_list,79801,74655,4002,1143
อุดรธานี,4,party_list,74871,69833,3910,1128
อุดรธานี,5,party_list,73659,68942,3466,1250
อุดรธานี,6,party_list,80787,75973,3536,1278
อุดรธานี,7,party_list,77512,72005,3585,1922
อุดรธานี,8,party_list,76245,70133,4385,1727
อุดรธานี,9,party_list,80810,74887,4057,1866
อุดรธานี,10,party_list,79295,73021,4356,1918
เลย,1,party_list,93879,86344,4372,3164
เลย,2,party_list,83494,75485,5168,2841
เลย,3,party_list,91957,83264,5544,3099
เลย,4,party_list,85019,76593,5362,3064
หนองคาย,1,party_list,95510,88417,4753,2340
หนองคาย,2,party_list,85702,79751,4715,1236
หนองคาย,3,party_list,87064,80364,4505,2195
มหาสารคาม,1,party_list,90568,84685,3371,2512
มหาสารคาม,2,party_list,82745,77478,3814,1453
มหาสารคาม,3,party_list,87676,83196,3505,975
มหาสารคาม,4,party_list,84946,79695,4101,1150
มหาสารคาม,5,party_list,84700,78705,3676,2319
มหาสารคาม,6,party_list,91663,85988,4068,1607
ร้อยเอ็ด,1,party_list,94577,89040,3312,2225
ร้อยเอ็ด,2,party_list,91762,86127,4016,1619
ร้อยเอ็ด,3,party_list,85668,80053,3999,1616
ร้อยเอ็ด,4,party_list,83975,79301,3340,1334
ร้อยเอ็ด,5,party_list,79956,74715,3208,2033
ร้อยเอ็ด,6,party_list,81279,76819,3194,1266
ร้อยเอ็ด,7,party_list,84921,80966,3109,846
ร้อยเอ็ด,8,party_list,89205,84903,3126,1176
กาฬสินธุ์,1,party_list,90138,82880,4696,2562
กาฬสินธุ์,2,party_list,82224,76444,3997,1783
กาฬสินธุ์,3,party_list,82445,75717,4820,1908
กาฬสินธุ์,4,party_list,90104,83586,4743,1775
กาฬสินธุ์,5,party_list,93902,87638,4515,1749
กาฬสินธุ์,6,party_list,95811,89550,4604,1657
สกลนคร,1,party_list,96161,89020,3791,3349
สกลนคร,2,party_list,88996,83303,3902,1791
สกลนคร,3,party_list,86140,79788,3591,2761
สกลนคร,4,party_list,83326,76144,4045,3137
สกลนคร,5,party_list,83538,78298,3643,1597
สกลนคร,6,party_list,80512,75630,3150,1732
สกลนคร,7,party_list,76157,71983,3623,551
นครพนม,1,party_list,98498,92903,4490,1105
นครพนม,2,party_list,94214,86927,4599,2688
นครพนม,3,party_list,94066,88074,4106,1886
นครพนม,4,party_list,96215,90744,4001,1470
มุกดาหาร,1,party_list,104804,97368,5024,2412
