province_name,constituency,vote_track,voters_came,eligible_voters,turnout_pct
จันทบุรี,2,party_list,102880,142477,72.20814587617652
จันทบุรี,3,party_list,101001,142294,70.98050515130645
ตราด,1,party_list,125215,176946,70.76452703084557
ฉะเชิงเทรา,1,party_list,110016,146676,75.00613597316534
ฉะเชิงเทรา,2,party_list,118519,144226,82.17589061611638
ฉะเชิงเทรา,3,party_list,104600,145910,71.68802686587622
ฉะเชิงเทรา,4,party_list,122283,154572,79.11070569055198
ปราจีนบุรี,1,party_list,94811,129363,73.29066270881164
ปราจีนบุรี,2,party_list,108243,141803,76.33336389216025
ปราจีนบุรี,3,party_list,93849,132022,71.08587962612292
นครนายก,1,party_list,82830,104054,79.60289849501221
นครนายก,2,party_list,87699,108945,80.49841663224562
สระแก้ว,1,party_list,97583,147502,66.15706905669076
สระแก้ว,2,party_list,97464,145146,67.14893968831383
สระแก้ว,3,party_list,101937,151072,67.47577314128363
นครราชสีมา,1,party_list,90557,128670,70.37926478588638
นครราชสีมา,2,party_list,105849,141226,74.95008001359523
นครราชสีมา,3,party_list,102530,136554,75.08384961260747
นครราชสีมา,4,party_list,93980,131759,71.3271958651781
นครราชสีมา,5,party_list,95131,133508,71.25490607304431
นครราชสีมา,6,party_list,85762,133507,64.23783022613047
นครราชสีมา,7,party_list,81993,136725,59.96928140427866
นครราชสีมา,8,party_list,88227,133816,65.93157768876667
นครราชสีมา,9,party_list,92484,135762,68.12215494762894
นครราชสีมา,10,party_list,112031,138131,81.10489318111068
นครราชสีมา,11,party_list,93602,132159,70.82529377492263
นครราชสีมา,12,party_list,94858,132388,71.65150920022963
นครราชสีมา,13,party_list,78490,130106,60.32773277173996
นครราชสีมา,14,party_list,83594,130744,63.93715964021294
นครราชสีมา,15,party_list,99861,138615,72.04198679796559
นครราชสีมา,16,party_list,89343,136002,65.69241628799577
บุรีรัมย์,1,party_list,86183,125326,68.76705551920591
บุรีรัมย์,2,party_list,81656,127640,63.97367596364776
บุรีรัมย์,3,party_list,77430,125637,61.6299338570644
บุรีรัมย์,4,party_list,74514,121519,61.31880611262436
บุรีรัมย์,5,party_list,82315,131438,62.62648549125823
บุรีรัมย์,6,party_list,79738,130776,60.9729613996452
บุรีรัมย์,7,party_list,80097,122067,65.61724298950577
บุรีรัมย์,8,party_list,85266,126957,67.16132233748434
บุรีรัมย์,9,party_list,79747,127988,62.3081851423571
บุรีรัมย์,10,party_list,74757,121301,61.62933528989868
สุรินทร์,1,party_list,94060,136098,69.11196343811076
สุรินทร์,2,party_list,95001,140119,67.80022694994969
สุรินทร์,3,party_list,84654,137349,61.63423104645829
สุรินทร์,4,party_list,85084,139651,60.92616594224173
สุรินทร์,5,party_list,82574,135454,60.96091662114076
สุรินทร์,6,party_list,81526,133978,60.85028885339384
สุรินทร์,7,party_list,91439,136450,67.01282521069989
สุรินทร์,8,party_list,85240,136843,62.29036194763342
ศรีสะเกษ,1,party_list,98768,132927,74.30243667576941
ศรีสะเกษ,2,party_list,85060,128729,66.07679699213077
ศรีสะเกษ,3,party_list,82061,128022,64.09913921044821
ศรีสะเกษ,4,party_list,82769,122479,67.57811543203324
ศรีสะเกษ,5,party_list,85063,127679,66.62254560264414
ศรีสะเกษ,6,party_list,83911,128551,65.27448250110851
ศรีสะเกษ,7,party_list,84203,126857,66.3763134868395
ศรีสะเกษ,8,party_list,89354,133124,67.12087978125658
ศรีสะเกษ,9,party_list,93002,139255,66.785393702201
อุบลราชธานี,1,party_list,99551,132480,75.144172705314
อุบลราชธานี,2,party_list,97134,136569,71.12448652329591
อุบลราชธานี,3,party_list,93751,139753,67.08335420348757
อุบลราชธานี,4,party_list,112955,150321,75.1425283227227
อุบลราชธานี,5,party_list,86404,131064,65.92504425318928
อุบลราชธานี,6,party_list,83930,132010,63.57851677903189
อุบลราชธานี,7,party_list,90567,131259,68.99869723218978
อุบลราชธานี,8,party_list,92164,137335,67.10889430953509
อุบลราชธานี,9,party_list,83647,130179,64.25537145008028
อุบลราชธานี,10,party_list,93234,141083,66.08450344832475
อุบลราชธานี,11,party_list,85958,135277,63.542213384389065
ยโสธร,1,party_list,105737,144704,73.07123507297656
ยโสธร,2,party_list,94115,141191,66.65793145455446
ยโสธร,3,party_list,99569,146753,67.84801673560335
ชัยภูมิ,1,party_list,88777,129541,68.53197057302322
ชัยภูมิ,2,party_list,87136,133561,65.24060167264396
ชัยภูมิ,3,party_list,80751,127154,63.506456737499406
ชัยภูมิ,4,party_list,76539,121184,63.15932796408767
ชัยภูมิ,5,party_list,89483,132089,67.7444753158855
ชัยภูมิ,6,party_list,89259,134526,66.35074260737701
ชัยภูมิ,7,party_list,84732,126889,66.77647392602984
อำนาจเจริญ,1,party_list,97675,145524,67.1195129325747
อำนาจเจริญ,2,party_list,103473,157168,65.83592079812685
บึงกาฬ,1,party_list,74245,104720,70.89858670741023
บึงกาฬ,2,party_list,75005,109327,68.6061082806626
บึงกาฬ,3,party_list,76221,118401,64.37530088428306
หนองบัวลำภู,1,party_list,91463,139258,65.67881198925734
หนองบัวลำภู,2,party_list,83652,135971,61.52194217884696
หนองบัวลำภู,3,party_list,82630,133308,61.9842770126324
ขอนแก่น,1,party_list,91147,128250,71.06978557504874
ขอนแก่น,2,party_list,105501,138811,76.00334267457191
ขอนแก่น,3,party_list,90629,132197,68.55601866910746
ขอนแก่น,4,party_list,95728,130877,73.14348586841079
ขอนแก่น,5,party_list,85146,131801,64.60193776981966
ขอนแก่น,6,party_list,86154,129906,66.32026234354072
ขอนแก่น,7,party_list,90247,132364,68.18092532712822
ขอนแก่น,8,party_list,96586,139634,69.17083231877623
ขอนแก่น,9,party_list,85016,127326,66.77033755870757
ขอนแก่น,10,party_list,89102,135110,65.94774628080823
ขอนแก่น,11,party_list,82562,131498,62.78574579081051
อุดรธานี,1,party_list,84507,127011,66.53518199211092
อุดรธานี,2,party_list,89477,130457,68.58735062127751
อุดรธานี,3,party_list,79801,125833,63.41818124021521
อุดรธานี,4,party_list,74871,126481,59.19545228137032
อุดรธานี,5,party_list,73659,123472,59.656440326551774
อุดรธานี,6,party_list,80787,126378,63.92489199069459
อุดรธานี,7,party_list,77512,128249,60.438677884427946
อุดรธานี,8,party_list,76245,122656,62.16165536133577
อุดรธานี,9,party_list,80810,124798,64.75264026667094
อุดรธานี,10,party_list,79295,122907,64.51626026182397
เลย,1,party_list,93879,125704,74.6825876662636
เลย,2,party_list,83494,132976,62.78877391408976
เลย,3,party_list,91957,126135,72.90363499425219
เลย,4,party_list,85019,123919,68.60852653749627
หนองคาย,1,party_list,95510,139496,68.46791305843895
หนองคาย,2,party_list,85702,136455,62.80605327763732
หนองคาย,3,party_list,87064,137314,63.405042457433325
มหาสารคาม,1,party_list,90568,129888,69.72776545947278
มหาสารคาม,2,party_list,82745,128380,64.45318585449446
มหาสารคาม,3,party_list,87676,130076,67.40367169962175
มหาสารคาม,4,party_list,84946,125931,67.45439963154426
มหาสารคาม,5,party_list,84700,132454,63.94672867561568
มหาสารคาม,6,party_list,91663,128307,71.4403734792334
ร้อยเอ็ด,1,party_list,94577,126135,74.98077456693225
ร้อยเอ็ด,2,party_list,91762,136681,67.13588574856783
ร้อยเอ็ด,3,party_list,85668,132880,64.47019867549669
ร้อยเอ็ด,4,party_list,83975,129528,64.8315422148107
ร้อยเอ็ด,5,party_list,79956,133199,60.02747768376639
ร้อยเอ็ด,6,party_list,81279,130130,62.45984784446323
ร้อยเอ็ด,7,party_list,84921,134383,63.19326105236526
ร้อยเอ็ด,8,party_list,89205,131264,67.95846538274013
กาฬสินธุ์,1,party_list,90138,131445,68.57468903343604
กาฬสินธุ์,2,party_list,82224,126190,65.15888739202789
กาฬสินธุ์,3,party_list,82445,124253,66.35252267550884
กาฬสินธุ์,4,party_list,90104,136385,66.06591633977344
กาฬสินธุ์,5,party_list,93902,137299,68.39234080364751
กาฬสินธุ์,6,party_list,95811,135642,70.63520148626532
สกลนคร,1,party_list,96161,133562,71.9972746739342
สกลนคร,2,party_list,88996,131918,67.46312102973059
สกลนคร,3,party_list,86140,133998,64.2845415603218
สกลนคร,4,party_list,83326,132760,62.76438686351311
สกลนคร,5,party_list,83538,129748,64.38480747294756
สกลนคร,6,party_list,80512,130058,61.90468867735933
สกลนคร,7,party_list,76157,131938,57.7218087283421
นครพนม,1,party_list,98498,143576,68.60338775282777
นครพนม,2,party_list,94214,143097,65.83925588936175
นครพนม,3,party_list,94066,142454,66.03254383871284
นครพนม,4,party_list,96215,144802,66.44590544329499
มุกดาหาร,1,party_list,104804,141889,73.86337207253557
มุกดาหาร,2,party_list,100884,138474,72.85410979678495
เชียงใหม่,1,party_list,103011,137824,74.74097399582075
เชียงใหม่,2,party_list,113527,143760,78.96981079577074
เชียงใหม่,3,party_list,111505,139221,80.09208380919544
เชียงใหม่,4,party_list,115491,144891,79.70888460981014
เชียงใหม่,5,party_list,102642,133210,77.0527738157796
เชียงใหม่,6,party_list,91405,127678,71.59025047384827
เชียงใหม่,7,party_list,98463,133190,73.92672122531721
เชียงใหม่,8,party_list,116389,141156,82.45416418714046
เชียงใหม่,9,party_list,105624,126132,83.74084292645799
เชียงใหม่,10,party_list,91752,121655,75.41983477867741
ลำพูน,1,party_list,140618,170916,82.27316342530834
ลำพูน,2,party_list,131679,162313,81.1265887513631
ลำปาง,1,party_list,112099,146327,76.60855481216727
ลำปาง,2,party_list,111667,150942,73.98007181566429
ลำปาง,3,party_list,112970,147051,76.82368702014946
ลำปาง,4,party_list,115740,157730,73.37855829582197
อุตรดิตถ์,1,party_list,87587,118176,74.1157256972651
อุตรดิตถ์,2,party_list,83114,125051,66.46408265427706
อุตรดิตถ์,3,party_list,84565,123483,68.48311103552716
แพร่,1,party_list,98225,122115,80.43647381566556
แพร่,2,party_list,88953,116303,76.483839625805
แพร่,3,party_list,84245,121732,69.20530345348799
น่าน,1,party_list,107201,139915,76.61866133009327
น่าน,2,party_list,98560,129544,76.08225776570123
น่าน,3,party_list,89545,119751,74.7759935198871
พะเยา,1,party_list,94639,124913,78.89731252952055
พะเยา,2,party_list,96038,127935,75.06780787118458
พะเยา,3,party_list,97854,130337,75.07768323653299
เชียงราย,1,party_list,109303,141608,77.18702333201513
เชียงราย,2,party_list,100737,132614,75.96256805465487
เชียงราย,3,party_list,104927,139953,74.97302665894979
เชียงราย,4,party_list,107048,141565,75.6175608377777
เชียงราย,5,party_list,99605,132028,75.4423304147605
เชียงราย,6,party_list,85894,126682,67.80284491877299
เชียงราย,7,party_list,97666,134194,72.7797069913707
แม่ฮ่องสอน,1,party_list,68159,95247,71.56025911577267
แม่ฮ่องสอน,2,party_list,74409,96023,77.49080949355883
นครสวรรค์,1,party_list,99113,138722,71.44721096869999
นครสวรรค์,2,party_list,104185,137003,76.04578001941563
นครสวรรค์,3,party_list,100028,146592,68.23564723859418
นครสวรรค์,4,party_list,92412,139645,66.17637581008987
นครสวรรค์,5,party_list,94811,139426,68.00094673877182
นครสวรรค์,6,party_list,90286,136823,65.98744363155318
อุทัยธานี,1,party_list,84560,127311,66.42002654915915
อุทัยธานี,2,party_list,83898,134528,62.364712178877255
กำแพงเพชร,1,party_list,101442,144685,70.11231295573141
กำแพงเพชร,2,party_list,105321,147930,71.19651186371932
กำแพงเพชร,3,party_list,91355,137857,66.26794431911328
กำแพงเพชร,4,party_list,93620,138876,67.41265589446701
ตาก,1,party_list,105329,150581,69.94839986452475
ตาก,2,party_list,89209,136061,65.56544491073856
ตาก,3,party_list,96512,134495,71.75880144243281
สุโขทัย,1,party_list,84340,118249,71.32407039382997
สุโขทัย,2,party_list,78246,118270,66.15878921112707
สุโขทัย,3,party_list,83731,120495,69.48919042283912
สุโขทัย,4,party_list,87669,120229,72.91834748687921
พิษณุโลก,1,party_list,99468,139505,71.30067022687359
พิษณุโลก,2,party_list,101319,147454,68.71227637093602
พิษณุโลก,3,party_list,94938,142882,66.44503856328998
พิษณุโลก,4,party_list,94492,128190,73.71245807005226
พิษณุโลก,5,party_list,94537,132621,71.28358253971845
พิจิตร,1,party_list,100830,145512,69.29325416460497
พิจิตร,2,party_list,91079,140325,64.90575449848566
พิจิตร,3,party_list,100598,141664,71.01168963180483
เพชรบูรณ์,1,party_list,88739,131143,67.66583042937862
เพชรบูรณ์,2,party_list,100198,131081,76.4397586225311
เพชรบูรณ์,3,party_list,92278,126659,72.85546230429738
เพชรบูรณ์,4,party_list,78124,126049,61.979071630873705
เพชรบูรณ์,5,party_list,81841,132078,61.96414240070261
เพชรบูรณ์,6,party_list,87505,137973,63.421828908554566
ราชบุรี,1,party_list,106701,140141,76.13831783703556
ราชบุรี,2,party_list,101443,139159,72.89718954577138
ราชบุรี,3,party_list,110523,143882,76.81502898208254
ราชบุรี,4,party_list,112928,140230,80.53055694216644
ราชบุรี,5,party_list,114688,133773,85.73329446151317
กาญจนบุรี,1,party_list,96563,133198,72.49583327076982
กาญจนบุรี,2,party_list,103736,131663,78.78902956791201
กาญจนบุรี,3,party_list,113958,136011,83.78587026049364
กาญจนบุรี,4,party_list,93526,133796,69.90194026727256
กาญจนบุรี,5,party_list,89052,122645,72.60956418932692
สุพรรณบุรี,1,party_list,102476,135381,75.69452138778706
สุพรรณบุรี,2,party_list,91578,129576,70.67512502315245
สุพรรณบุรี,3,party_list,106772,130523,81.80320709759967
สุพรรณบุรี,4,party_list,99626,137456,72.47846583634036
สุพรรณบุรี,5,party_list,104630,144799,75.02123633450508
นครปฐม,1,party_list,104422,129731,80.49117019062521
นครปฐม,2,party_list,96412,120935,79.72216479927233
นครปฐม,3,party_list,91278,119354,76.47669956599695
